ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name
2472,,Smolarczyk,Bartłomiej Smolarczyk,DEF,1.7,Korona Kielce
2473,,Kosidis,Michalis Kosidis,FWD,1.8,Zaglebie Lubin
2476,,Brunes,Jonatan Braut Brunes,FWD,3.1,Rakow
2477,,Regula,Marcel Reguła,MID,2.1,Zaglebie Lubin
2480,,Hakans,Daniel Håkans,MID,1.8,Lech Poznan
2481,954832.0,Hasic,Ajdin Hasić,MID,2.2,Cracovia
2488,,Hoffman,Ian Hoffman,DEF,1.7,Lech Poznan
2489,,Pitan,Levis Pitan,DEF,1.7,Piast Gliwice
2491,,Wojciechowski,Maciej Wojciechowski,MID,0.7,Pogon Szczecin
2498,1014588.0,Walemark,Patrik Wålemark,MID,2.3,Lech Poznan
2500,,Polak,Cezary Polak,DEF,1.6,Jagiellonia
2502,,Katsantonis,Andréas Katsantónis,FWD,1.6,Piast Gliwice
2505,1124213.0,Keramitsis,Dimítrios Keramítsis,DEF,1.8,Pogon Szczecin
2507,,Diaz,Jesus Diaz,MID,1.7,Rakow
2508,,Dziewiatowski,Mateusz Dziewiatowski,MID,1.4,Zaglebie Lubin
2510,,Kozlowski,Eryk Kozłowski,MID,0.7,Jagiellonia
2517,1831318.0,Basse,Adam Basse,FWD,0.7,Rakow
2518,,Sharabura,Yegor Sharabura,MID,0.7,Slask Wroclaw
2520,,Pomietlo,Mateusz Pomietło,MID,0.7,Cracovia
2524,,Gryzio,Daniel Gryzio,FWD,0.7,Widzew Lodz
2526,921442.0,Liseth,Sondre Liseth,FWD,2.0,Gornik Zabrze
2527,,Thordarson,Gisli Thordarson,MID,1.8,Lech Poznan
2530,,Lewandowski,Franciszek Lewandowski,MID,0.7,Motor Lublin
2531,,Tratnik,Gašper Tratnik,GKP,1.6,Motor Lublin
2535,,Kingue,Steve Kingué,DEF,1.7,Radomiak
2538,1020086.0,Llinares,Marc Llinares,DEF,1.7,Slask Wroclaw
2541,,Flach,Leon Flach,MID,1.8,Jagiellonia
2548,,Abdullahi,Abbati Abdullahi,MID,1.7,Gornik Zabrze
2552,1150377.0,Sotiriou,Konstantínos Sotiríou,DEF,1.9,Korona Kielce
2553,,Wyganowski,Aleksander Wyganowski,MID,0.7,Legia
2554,,Madej,Leon Madej,MID,0.7,Widzew Lodz
2555,,Stachowicz,Nikodem Stachowicz,MID,0.7,Widzew Lodz
2557,1000129.0,Tapsoba,Abdoul Tapsoba,FWD,1.7,Radomiak
2560,1882566.0,Ciszek,Konrad Ciszek,DEF,0.9,Korona Kielce
2561,,Mikielewicz,Michał Mikielewicz,GKP,0.7,Korona Kielce
2566,,Pozo,José Pozo,MID,1.8,Pogon Szczecin
2571,946840.0,Henriksson,Gustaw Henriksson,DEF,1.7,Cracovia
2573,,Olewinski,Oliwier Olewiński,MID,1.2,Legia
2577,,Corluka,Josip Ćorluka,DEF,1.8,Zaglebie Lubin
2578,,Rygiel,Szymon Rygiel,DEF,0.9,Slask Wroclaw
2579,,Zawadzki,Jakub Zawadzki,DEF,0.7,Pogon Szczecin
2582,,Minczew,Martin Minczew,MID,1.7,Cracovia
2587,,Kopczynski,Mateusz Kopczyński,MID,0.7,Piast Gliwice
2588,1048923.0,Perkovic,Mauro Perković,DEF,1.8,Cracovia
2592,,Kilianek,Szymon Kilianek,DEF,0.7,Radomiak
2594,,Daniel,Justin Daniel,MID,0.7,Piast Gliwice
2595,,Polak,Dawid Polak,MID,0.7,Cracovia
2596,,Kowalski,Jakub Kowalski,FWD,0.7,Korona Kielce
2597,,Nowogonski,Kamil Nowogoński,MID,0.7,Zaglebie Lubin
2600,,Szafranski,Radosław Szafrański,DEF,0.7,Gornik Zabrze
2616,1146194.0,Jakubczyk,Kamil Jakubczyk,MID,1.7,Korona Kielce
2637,73980.0,Kaminski,Marcin Kamiński,DEF,1.9,Wisla Plock
2638,,Kalandadze,Aleksandre Kalandadze,DEF,1.6,Wisla Plock
2640,181613.0,Sangre,Marcus Haglind-Sangré,DEF,1.8,Wisla Plock
2641,,Misiak,Przemyslaw Misiak,DEF,1.5,Wisla Plock
2642,,Wieckowski,Marcin Więckowski,DEF,1.2,Wisla Plock
2643,,Zajac,Filip Zając,DEF,0.7,Wisla Plock
2644,,Lodzinski,Filip Łodziński,MID,1.0,Wisla Plock
2647,,Serwach,Jakub Serwach,MID,1.2,Wisla Plock
2648,,Lejman,Jakub Lejman,MID,0.7,Wisla Plock
2649,,Jimenez,Jorge Jiménez,MID,1.8,Wisla Plock
2652,338225.0,Pomorski,Krystian Pomorski,MID,1.7,Wisla Plock
2653,,Bielka,Adrian Bielka,MID,0.8,Wisla Plock
2655,1912441.0,Donio,Bastien Donio,MID,1.6,Gornik Zabrze
2656,,Dziegielewski,Natan Dzięgielewski,MID,1.7,Gornik Zabrze
2659,1390683.0,Lubik,Marcel Łubik,GKP,1.8,Wisla Krakow
2661,1065442.0,Vital,Bernardo Vital,DEF,1.9,Jagiellonia
2662,905345.0,Kobayashi,Yūki Kobayashi,DEF,1.7,Jagiellonia
2664,1888815.0,Rallis,Dimítris Rállis,FWD,1.9,Jagiellonia
2665,,Budnicki,Jakub Budnicki,DEF,1.7,Korona Kielce
2668,959616.0,Svetlin,Tamar Svetlin,MID,1.8,Korona Kielce
2669,877984.0,Vojtko,Matus Vojtko,DEF,1.7,Wieczysta
2670,,Stojanovic,Petar Stojanović,DEF,1.7,Legia
2671,1006858.0,Czubak,Karol Czubak,FWD,3.0,Motor Lublin
2672,1131003.0,Haxha,Florian Haxha,MID,1.8,Motor Lublin
2673,1127782.0,Karasek,Kacper Karasek,MID,1.7,Radomiak
2675,,Boisgard,Quentin Boisgard,MID,1.7,Piast Gliwice
2676,,Twumasi,Emmanuel Twumasi,DEF,1.7,Piast Gliwice
2677,928857.0,Juwara,Musa Juwara,MID,1.8,Pogon Szczecin
2679,992198.0,Mukairu,Paul Mukairu,MID,2.1,Pogon Szczecin
2680,,N'Diaye,Mor N'Diaye,MID,1.7,Pogon Szczecin
2681,1010310.0,Blasco,Jérémy Blasco,DEF,1.7,Radomiak
2683,,Niziolek,Alex Niziołek,FWD,1.6,Radomiak
2684,,Lopes,Vasco Lopes,MID,1.7,Radomiak
2685,,Konstantopoulos,Apóstolos Konstantópoulos,DEF,1.7,Jagiellonia
2686,,Akere,Samuel Akere,MID,1.9,Widzew Lodz
2687,1031756.0,Baena,Ángel Baena,MID,1.8,Widzew Lodz
2688,,Gallapeni,Dion Gallapeni,DEF,1.8,Wisla Plock
2689,922945.0,Selahi,Lindon Selahi,MID,1.8,Widzew Lodz
2690,1046322.0,Visus,Ricardo Visus,DEF,1.7,Widzew Lodz
2692,,Szafranek,Wojciech Szafranek,FWD,0.9,Zaglebie Lubin
2696,,Glowinski,Mateusz Głowiński,FWD,0.7,Korona Kielce
2697,,Szymanek,Kacper Szymanek,MID,1.2,Motor Lublin
2698,860157.0,Bengtsson,Leo Bengtsson,MID,2.4,Lech Poznan
2699,190171.0,Rodrigues,Ivo Rodrigues,MID,1.8,Motor Lublin
2700,1902572.0,Meyer,Paskal Meyer,DEF,1.5,Motor Lublin
2701,,Plichta,Kacper Plichta,FWD,0.7,Motor Lublin
2702,,Davidovic,Stjepan Davidović,MID,1.7,Korona Kielce
2703,976145.0,Camara,Ibrahima Camará,MID,1.7,Radomiak
2706,,Kukulski,Patryk Kukulski,GKP,0.7,Motor Lublin
2708,992951.0,Rajovic,Mileta Rajović,FWD,1.9,Legia
2717,1014682.0,Rodriguez,Pablo Rodríguez,MID,2.0,Lech Poznan
2719,,Sanca,Leandro Sanca,MID,1.8,Piast Gliwice
2720,,Nawrocki,Kuba Nawrocki,MID,0.7,Widzew Lodz
2722,,Minuczyc,Kacper Minuczyc,MID,0.7,Korona Kielce
2724,911956.0,Massimo,Roberto Massimo,MID,1.7,Gornik Zabrze
2727,2181702.0,Lawa,Natan Ława,MID,1.6,Pogon Szczecin
2728,,Rivas,Juande Rivas,DEF,1.8,Piast Gliwice
2729,,Kameri,Dijon Kameri,MID,1.7,Cracovia
2731,,Jackson,Aziel Jackson,MID,1.9,Jagiellonia
2732,,Teklic,Tonio Teklić,MID,1.7,Widzew Lodz
2733,905421.0,Palma,Luis Palma,MID,3.5,Lech Poznan
2734,,Pietryga,Piotr Pietryga,GKP,0.7,Gornik Zabrze
