id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2898,Aleksandar Djermanovic,Wieczysta Kraków,DEF,1.7,MAY,,,,2.5,2.3,2.1,2.1,2,2.1,3.7,2.3,19.1
10,Kamil Pestka,Wieczysta Kraków,DEF,1.7,EXP,,,,2.5,2.3,2.1,2.1,2,2.1,3.7,2.3,19.1
2967,Jérémy Guillemenot,Wisła Kraków,FWD,2,NES,,,,2.5,2.2,2.6,2.2,2.2,2.6,2.2,2.5,19
2833,Mihael Mlinarić,Zagłębie Lubin,FWD,1.8,NES,,,,2.4,2.1,2.1,2.6,2.3,2.5,2.3,2.5,18.8
2929, Manu,Radomiak Radom,FWD,1.9,NES,,,,2.4,2.2,2.5,2.1,2.5,2.4,2.2,2.4,18.7
2928,Fernand Gouré,Radomiak Radom,FWD,1.7,NES,,,,2.4,2.2,2.5,2.1,2.5,2.4,2.2,2.4,18.7
374,Alan Uryga,Wisła Kraków,DEF,1.6,NES,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
1415,Bartosz Jaroch,Wisła Kraków,DEF,1.6,NES,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
2863,Jakub Stępak,Wisła Kraków,GKP,0.7,NES,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
2868,Kacper Skrobański,Wisła Kraków,DEF,0.7,NES,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
2864,Patryk Letkiewicz,Wisła Kraków,GKP,1.6,EXP,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
2870,Rafał Mikulec,Wisła Kraków,DEF,1.6,NES,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
2872,Raoul Giger,Wisła Kraków,DEF,1.6,EXP,,,,3.1,1.4,3.3,1.4,1.6,3.3,1.5,3,18.6
1509,Bartłomiej Gradecki,Radomiak Radom,GKP,1.5,NES,,,,2.9,1.5,3,1.2,3.2,2.7,1.4,2.6,18.5
1635,Filip Koperski,Radomiak Radom,DEF,1.6,NES,,,,2.9,1.5,3,1.2,3.2,2.7,1.4,2.6,18.5
950,Mateusz Cichocki,Radomiak Radom,DEF,1.7,NES,,,,2.9,1.5,3,1.2,3.2,2.7,1.4,2.6,18.5
2948,Kacper Błaszkiewicz,Wisła Płock,FWD,0.9,NES,,,,2.2,2.4,2.3,2.2,2.3,2.4,2.3,2.4,18.5
2944,Dominik Gregorski,Motor Lublin,FWD,1,NES,,,,2.2,2.4,2.2,2.4,2.2,2.4,2.4,2.1,18.3
2701,Kacper Plichta,Motor Lublin,FWD,0.7,NES,,,,2.2,2.4,2.2,2.4,2.2,2.4,2.4,2.1,18.3
88,Dawid Szymonowicz,Wieczysta Kraków,DEF,1.7,EXP,,,,2.4,2.1,2,2,1.9,2,3.5,2.1,18
1411,Rafał Leszczyński,Wisła Płock,GKP,1.8,EXP,,,,1.5,2.8,1.9,2.1,1.9,2.9,2,2.9,18
130,Jasmin Burić,Zagłębie Lubin,GKP,1.9,EXP,,,,2.8,1.2,1.2,3.3,1.7,3,1.9,2.9,18
23,Karol Niemczycki,Śląsk Wrocław,GKP,1.8,NES,,,,1.8,2.6,2.8,2,2.7,1.6,1.7,2.8,18
2669,Matus Vojtko,Wieczysta Kraków,DEF,1.7,EXP,,,,2.3,2.1,2,1.9,1.9,2,3.5,2.1,17.8
382,Dominik Hładun,Zagłębie Lubin,GKP,1.7,NES,,,,2.8,1.1,1.1,3.3,1.7,3,1.9,2.8,17.7
2958,Franciszek Nowak,Zagłębie Lubin,GKP,0.7,NES,,,,2.8,1.1,1.1,3.3,1.7,3,1.9,2.8,17.7
