id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
1582,Yehor Matsenko,Śląsk Wrocław,DEF,1.8,EXP,,,,,,,,,,,,
2779,Deni Jurić,Wisła Płock,FWD,1.8,EXP,,,,,,,,,,,,
2616,Kamil Jakubczyk,Korona Kielce,MID,1.7,NES,,,,,,,,,,,,
1623,Filip Borowski,Piast Gliwice,DEF,1.6,EXP,,,,,,,,,,,,
2869,Jakub Krzyżanowski,Wisła Kraków,DEF,1.6,MAY,,,,,,,,,,,,
994,Lukas Klemenz,GKS Katowice,DEF,2,MAY,,,,,,,,,,,,
2386,Patrik Hellebrand,Korona Kielce,MID,2.1,MAY,,,,,,,,,,,,
2448,Alex Douglas,Lech Poznań,DEF,1.8,NES,,,,,,,,,,,,
2316,Mateusz Pruchniewski,Lech Poznań,GKP,0.7,MAY,,,,,,,,,,,,
2894,Malaly Dembélé,Śląsk Wrocław,FWD,1.9,NES,,,,,,,,,,,,
2444,Marcel Krajewski,Widzew Łódź,DEF,1.8,MAY,,,,,,,,,,,,
2454,Pau Resta,GKS Katowice,DEF,1.9,MAY,,,,,,,,,,,,
2874,James Igbekeme,Wisła Kraków,MID,1.7,EXP,,,,,,,,,,,,
1494,Kacper Duda,Wisła Kraków,MID,1.6,EXP,,,,,,,,,,,,
2100,Dušan Stojinović,Jagiellonia Białystok,DEF,1.7,MAY,,,,,,,,,,,,
2752,Slobodan Rubežić,Korona Kielce,DEF,1.7,EXP,,,,,,,,,,,,
1893,Dani Pacheco,Wisła Płock,MID,1.8,EXP,,,,,,,,,,,,
2890,Alex Timossi Andersson,Śląsk Wrocław,MID,2,NES,,,,,,,,,,,,
1214,Filip Szymczak,Zagłębie Lubin,FWD,1.8,NES,,,,,,,,,,,,
1931,Steve Kapuadi,Widzew Łódź,DEF,1.8,EXP,,,,,,,,,,,,
1020,Jakub Łabojko,Piast Gliwice,MID,1.7,MAY,,,,,,,,,,,,
20,Damian Dąbrowski,Zagłębie Lubin,MID,1.7,EXP,,,,,,,,,,,,
1909,Rafał Adamski,Legia Warszawa,FWD,2,EXP,,,,,,,,,,,,
2900,Nikola Knezevic,Wieczysta Kraków,MID,1.7,MAY,,,,,,,,,,,,
1540,Norbert Wojtuszek,Jagiellonia Białystok,DEF,1.9,EXP,,,,,,,,,,,,
