ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
1673,890785.0,Banaszak,Przemysław Banaszak,FWD,2.0,Slask Wroclaw,1.0,64.0,1.0,0.62,0.0,0.01,0.63,0.89,0.0,3.0,1.0
1675,926007.0,Majchrowicz,Filip Majchrowicz,GKP,1.8,Radomiak,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682,,Kozak,Miłosz Kozak,MID,1.7,Slask Wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697,182023.0,Kakabadze,Otar Kakabadze,DEF,1.8,Cracovia,1.0,90.0,0.0,0.02,0.0,0.2,0.22,0.22,2.0,1.0,0.0
1698,1063187.0,Knap,Karol Knap,MID,1.7,Cracovia,1.0,26.0,0.0,0.0,0.0,0.01,0.01,0.03,1.0,0.0,0.0
1712,809489.0,Pereira,Joel Pereira,DEF,2.1,Lech Poznan,1.0,26.0,0.0,0.0,0.0,0.09,0.09,0.31,1.0,0.0,0.0
1719,971393.0,Ameyaw,Michael Ameyaw,MID,2.1,Rakow,1.0,34.0,0.0,0.04,0.0,0.06,0.1,0.26,0.0,1.0,0.0
1725,286071.0,Emreli,Mehir Emreli,FWD,2.3,Rakow,1.0,56.0,0.0,0.05,0.0,0.02,0.07,0.11,1.0,2.0,0.0
1737,,Czyz,Szymon Czyż,MID,1.7,Widzew Lodz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1739,,Bieganski,Mikołaj Biegański,GKP,1.5,Widzew Lodz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1747,,Drapinski,Igor Drapiński,DEF,1.8,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1754,,Krol,Michał Król,MID,1.8,Wisla Plock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756,,Matuszewski,Konrad Matuszewski,DEF,1.9,Korona Kielce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1757,,Mrozek,Bartosz Mrozek,GKP,2.2,Lech Poznan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770,1126979.0,Pienko,Tomasz Pieńko,MID,2.0,Rakow,1.0,82.0,0.0,0.06,0.0,0.07,0.13,0.14,0.0,1.0,1.0
1794,33689.0,Grosicki,Kamil Grosicki,MID,2.5,Pogon Szczecin,1.0,28.0,0.0,0.06,0.0,0.15,0.21,0.67,1.0,1.0,0.0
1795,1152849.0,Abramowicz,Sławomir Abramowicz,GKP,2.0,Jagiellonia,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1812,,Lokilo,Jason Lokilo,MID,1.7,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,1104084.0,Mikulko,Antoni Mikułko,GKP,1.7,Wieczysta,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,,Biczachczjan,Wahan Biczachczjan,MID,1.8,Legia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,1048102.0,Racovitan,Bogdan Racovițan,DEF,2.0,Rakow,1.0,90.0,0.0,0.01,0.0,0.02,0.03,0.03,1.0,1.0,0.0
1858,,Antczak,Jakub Antczak,MID,1.4,Lech Poznan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,,Szkurin,Ilja Szkurin,FWD,2.1,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,1127202.0,Lukasiak,Kacper Łukasiak,MID,1.7,GKS Katowice,1.0,90.0,0.0,0.0,0.0,0.27,0.27,0.27,2.0,0.0,0.0
1893,99524.0,Pacheco,Dani Pacheco,MID,1.8,Wisla Plock,1.0,90.0,0.0,0.0,0.0,0.21,0.21,0.21,0.0,0.0,0.0
1900,,Koczerhin,Władysław Koczerhin,MID,2.0,Rakow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,,Kikolski,Maciej Kikolski,GKP,1.7,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,,Adamski,Rafał Adamski,FWD,2.0,Legia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
